film_id,title,year,person_id,person_name,role,characters
GDO,Deeksha,1951,k-s-prakash-rao,K.S. Prakash Rao,director,
BEUK,Jeevitha Nouka,1951,k-vembu,K. Vembu,director,
AKCS,Malliswari,1951,b-n-reddi,B.N. Reddi,director,
GFX,Mangala,1951,chandru,Chandru,director,
GFZ,Manthra Dhandam,1951,k-s-ramachandra-rao,K.S. Ramachandra Rao,director,
GGF,Maya Pilla,1951,r-prakash,R. Prakash,director,
GGE,Mayalamari,1951,p-sridhar,P. Sridhar,director,
GGT,Navvithe Navaratnalu,1951,s-soundararajan,S. Soundararajan,director,
AKUB,Nirdoshi,1951,h-m-reddy,H.M. Reddy,director,
GHE,Pathala Bhairavi,1951,kadiri-venkata-reddi,Kadiri Venkata Reddi,director,
GFW,Pelli Kuthuru,1951,n-s-krishnan,N.S. Krishnan,director,
GHG,Penki Pilla,1951,b-v-ramanandam,B.V. Ramanandam,director,
GHH,Perantalu,1951,tripuraneni-gopichand,Tripuraneni Gopichand,director,
GHX,Roopavathi,1951,k-prabhakar-rao,K. Prabhakar Rao,director,
GIL,Sarvadhikari,1951,t-r-sundaram,T.R. Sundaram,director,
AKUS,Sowdamini,1951,kadaru-nagabhushanam,Kadaru Nagabhushanam,director,
AKUV,Sthree Sahasamu,1951,vedantam-raghavaiah,Vedantam Raghavaiah,director,
GJK,Thilothama,1951,mirjapuram-raja,Mirjapuram Raja,director,
GJS,Aada Brathuku,1952,b-a-subbarao,B.A. Subbarao,director,
GJZ,Aadarsam,1952,h-v-babu,H.V. Babu,director,
GRX,Aakali,1952,mohan-rao,Mohan Rao,director,
GKW,Athinti Kapuram,1952,acharya,Acharya,director,
GKW,Athinti Kapuram,1952,m-mastan,M. Mastan,director,
GLU,Chinna Kodalu,1952,ghantasala-balaramaiah,Ghantasala Balaramaiah,director,
GLV,Chinnamma Katha,1952,s-v-s-ramarao,S.V.S. Ramarao,director,
BKBR,Daasi,1952,c-v-ranganatha-das,C.V. Ranganatha Das,director,
GME,Dharma Devata,1952,p-pullaiah,P. Pullaiah,director,
BEZS,Kanchana,1952,s-m-sriramulu-naidu,S.M. Sriramulu Naidu,director,
GOD,Maanavathi,1952,y-v-rao,Y.V. Rao,director,
GGA,Maradhalu Pelli,1952,mukkamala-krishna-murthy,Mukkamala Krishna Murthy,director,
GON,Mugguru Kodukulu,1952,r-nagendra-rao,R. Nagendra Rao,director,
GPC,Palleturu,1952,tatineni-prakash-rao,Tatineni Prakash Rao,director,
GPK,Pedha Raithu,1952,kadaru-nagabhushanam,Kadaru Nagabhushanam,director,
AKDG,Pelli Chesi Chudu,1952,l-v-prasad,L.V. Prasad,director,
GPQ,Praja Seva,1952,k-prabhakar-rao,K. Prabhakar Rao,director,
AKVO,Prema,1952,p-ramakrishna,P. Ramakrishna,director,
GPV,Priyuralu,1952,tripuraneni-gopichand,Tripuraneni Gopichand,director,
GQB,Rajeswari,1952,r-padmanaban,R. Padmanaban,director,
GQP,Sankranthi,1952,c-pullaiah,C. Pullaiah,director,
GQW,Santhi,1952,vedantam-raghavaiah,Vedantam Raghavaiah,director,
GQT,Savaasam,1952,mirjapuram-raja,Mirjapuram Raja,director,
GQU,Savathi Poru,1952,t-p-sundaram,T.P. Sundaram,director,
GQU,Savathi Poru,1952,m-mastan,M. Mastan,director,
AKVT,Ting Ranga,1952,b-a-subbarao,B.A. Subbarao,director,
BFOS,Amara Kavi,1953,f-nagoor,F. Nagoor,director,
GSO,Ammalakkallu,1953,d-yoganand,D. Yoganand,director,
GTO,Brathuku Theruvu,1953,p-ramakrishna,P. Ramakrishna,director,
GTR,Chandirani,1953,paluvayi-bhanumathi,Paluvayi Bhanumathi,director,
GUB,Devadasu,1953,vedantam-raghavaiah,Vedantam Raghavaiah,director,
GVB,Gumasta,1953,r-m-krishnaswamy,R.M. Krishnaswamy,director,
BJTY,Inspector,1953,r-s-mani,R.S. Mani,director,
BJUD,Jagan Mohini,1953,d-shankar-singh,D. Shankar Singh,director,
GWA,Kannathalli,1953,k-s-prakash-rao,K.S. Prakash Rao,director,
GWD,Kodarikam,1953,k-s-ramachandra-rao,K.S. Ramachandra Rao,director,
GWD,Kodarikam,1953,k-vembu,K. Vembu,director,
GWJ,Lakshmi,1953,kadaru-nagabhushanam,Kadaru Nagabhushanam,director,
GXE,Manjari,1953,y-v-rao,Y.V. Rao,director,
GXM,Naa Chellelu,1953,chitrapu-narayanamurthy,Chitrapu Narayanamurthy,director,
GUM,Naa Illu,1953,chittor-v-nagaiah,Chittor V. Nagaiah,director,
GXZ,Oka Thalli Pillalu,1953,sri-ramulu-naidu,Sri Ramulu Naidu,director,
GYB,Pakkinti Ammayi,1953,c-pullaiah,C. Pullaiah,director,
GYO,Paradesi,1953,l-v-prasad,L.V. Prasad,director,
GYE,Paropakaram,1953,kamal-ghosh,Kamal Ghosh,director,
GYJ,Pempudu Koduku,1953,l-v-prasad,L.V. Prasad,director,
GYL,Pichi Pullayya,1953,tatineni-prakash-rao,Tatineni Prakash Rao,director,
GYP,Prapancham,1953,l-s-ramachandran,L.S. Ramachandran,director,
GYQ,Prathignya,1953,y-r-swamy,Y.R. Swamy,director,
BJYS,Prema Lekhalu,1953,raja-nawathe,Raja Nawathe,director,
GYR,Puttillu,1953,dr-rajarao,Dr Rajarao,director,
GZB,Rohini,1953,kamal-ghosh,Kamal Ghosh,director,
HAH,Thandri,1953,m-r-s-mani,M.R.S. Mani,director,
HAR,Vayyari Bhama,1953,k-s-ramachandra-rao,K.S. Ramachandra Rao,director,
HBC,Aggi Ramudu,1954,s-m-sriramulu-naidu,S.M. Sriramulu Naidu,director,
HBI,Amara Sandhesam,1954,adurthi-subbarao,Adurthi Subbarao,director,
HBO,Annadaatha,1954,vedantam-raghavaiah,Vedantam Raghavaiah,director,
HBQ,Antha Manavaale,1954,tapi-chanakya,Tapi Chanakya,director,
HCC,Balanandham Bhoorelamukudu Rajayogam Konte Kistayya,1954,k-s-prakash-rao,K.S. Prakash Rao,director,
HHW,Bangaru Bhoomi,1954,a-t-krishna-swamy,A.T. Krishna Swamy,director,
HCU,Chakrapani,1954,p-ramakrishna,P. Ramakrishna,director,
AKXD,Chandraharam,1954,kamalakara-kameshwara-rao,Kamalakara Kameshwara Rao,director,
HEF,Iddaru Pellallu,1954,f-nagoor,F. Nagoor,director,
GVQ,Jathaka Palam,1954,r-nagendra-rao,R. Nagendra Rao,director,
HEO,Jyothi,1954,c-v-sridhar,C.V. Sridhar,director,
HEO,Jyothi,1954,k-b-tilak,K.B. Tilak,director,
AKXQ,Kalahasthi Mahathyam,1954,h-l-n-simha,H.L.N. Simha,director,
HFN,Maa Gopi,1954,b-s-ranga,B.S. Ranga,director,
AKXI,Manohara,1954,l-v-prasad,L.V. Prasad,director,
HGM,Menarikam,1954,jampana-chandrasekhar-rao,Jampana Chandrasekhar Rao,director,
HHG,Nirupedhalu,1954,tatineni-prakash-rao,Tatineni Prakash Rao,director,
HHL,Palle Paduchu,1954,bolla-subbarao,Bolla Subbarao,director,
HHQ,Parivarthana,1954,tatineni-prakash-rao,Tatineni Prakash Rao,director,
HHR,Pedda Manushulu,1954,kadiri-venkata-reddi,Kadiri Venkata Reddi,director,
FYZ,Praja Rajyam,1954,a-kasilingam,A. Kasilingam,director,
HIG,Raja Guruvu,1954,a-s-a-swamy,A.S.A. Swamy,director,
HII,Raji Na Pranam,1954,k-j-mahadevan,K.J. Mahadevan,director,
HIJ,Raju Pedha,1954,b-a-subbarao,B.A. Subbarao,director,
AKWT,Sangham,1954,m-v-raman,M.V. Raman,director,
HJB,Sathi Sakku Bai,1954,kadaru-nagabhushanam,Kadaru Nagabhushanam,director,
HKI,Thodu Dongalu,1954,d-yoganand,D. Yoganand,director,
HKO,Vadhante Dabbu,1954,y-r-swamy,Y.R. Swamy,director,
HKU,Vipranarayana,1954,p-s-ramakrishna-rao,P.S. Ramakrishna Rao,director,
HKX,Aada Bidda,1955,erra-apparao,Erra Apparao,director,
HLH,Anarkali,1955,vedantam-raghavaiah,Vedantam Raghavaiah,director,
BEIW,Antha Inthe,1955,r-m-krishna-swamy,R.M. Krishna Swamy,director,
HLJ,Anthe Kavali,1955,k-s-prakash-rao,K.S. Prakash Rao,director,
