film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
ARKA,Tenali,2000,2000s,,K.S. Ravi Kumar,,"Thenali (Kamal) is a traumatized Sri Lankan Tamil, who has is beset by a variety of elaborate phobias. A psychiatrist Panchabutam (Delhi Ganesh), convinced that Thenali is impossible, refers him to rival shrink Kailash (Jayaram). The doctor takes an instant dislike to his new patient, while his wife (Devyani) and sister (Jyothika) take more of a liking to him than Kailash would like. Interesting Sri Lankan accent, though mostly wasted on an overdone film. Kamal overacts.",Telugu,India,/static/posters/ARKA.jpg,https://indiancine.ma/ARKA/info,
BFWI,Tensionlo Tension,2000,2000s,,D. Rangarao,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BFWI/info,
ARKD,Thirumala Thirupathi Venkatesa,2000,2000s,,E. Sathibabu,,,Telugu,India,/static/posters/ARKD.jpg,https://indiancine.ma/ARKD/info,
ARKI,Uncle,2000,2000s,,A.V.S,,,Telugu,India,/static/posters/ARKI.jpg,https://indiancine.ma/ARKI/info,
BGAF,Unmadhi,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGAF/info,
ARKN,Vamsi,2000,2000s,,B. Gopal,,,Telugu,India,/static/posters/ARKN.jpg,https://indiancine.ma/ARKN/info,
ARKO,Vamsodharakudu,2000,2000s,,Sarath,,,Telugu,India,/static/posters/ARKO.jpg,https://indiancine.ma/ARKO/info,
BIOI,Vayasu Korika,2000,2000s,,C.H. Venkat,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BIOI/info,
BITZ,Vesya,2000,2000s,,R. Manoj Babu,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BITZ/info,
BEZD,Vijayaramaraju,2000,2000s,,Veera Shankar Bairisetty,,,Telugu,India,/static/posters/BEZD.jpg,https://indiancine.ma/BEZD/info,
BKCD,Vijetha,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BKCD/info,
BIZU,Vyjayanthi,2000,2000s,,K.S. Nageswara Rao,,,Telugu,India,/static/posters/BIZU.jpg,https://indiancine.ma/BIZU/info,
BKCH,X Men,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BKCH/info,
BGVI,Yugantaram,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGVI/info,
ARKY,Yuvakudu,2000,2000s,,A. Karunakaran,,,Telugu,India,/static/posters/ARKY.jpg,https://indiancine.ma/ARKY/info,
ARKZ,Yuvaraju,2000,2000s,,Y.V.S. Chowdary,,,Telugu,India,/static/posters/ARKZ.jpg,https://indiancine.ma/ARKZ/info,
BBEK,6 Teens,2001,2000s,,G. Nageswara Reddy,,,Telugu,India,/static/posters/BBEK.jpg,https://indiancine.ma/BBEK/info,
BIVH,12B,2001,2000s,,Jeeva (Camera),,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BIVH/info,
BJHH,Aakarshana,2001,2000s,,T.S. Muralidharan,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJHH/info,
ARLP,Aakasaveedhilo,2001,2000s,,Singeetham Srinivasa Rao,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/ARLP/info,
BDRH,Aarava Roju,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BDRH/info,
BEZE,Abay,2001,2000s,,Suresh Krishna,,,Telugu,,/static/posters/BEZE.jpg,https://indiancine.ma/BEZE/info,
BJQM,Abi,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJQM/info,
BGPP,Adavi Raju,2001,2000s,,Stephen Hopkins,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGPP/info,
BDCX,Adbutha Veerudu Apurupa Sundari,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BDCX/info,
ARLJ,Adhipathi,2001,2000s,,Raviraja Pinisetty,,,Telugu,India,/static/posters/ARLJ.jpg,https://indiancine.ma/ARLJ/info,
BHPD,Aghoraa,2001,2000s,,Megoti Sanjeev Kumar,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHPD/info,
ARLR,Akka Bavekkada,2001,2000s,,Raja Vannem Reddy,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/ARLR/info,
ARLZ,Ammaye Navvithe,2001,2000s,,Vemuri Jyothi Kumar,,,Telugu,India,/static/posters/ARLZ.jpg,https://indiancine.ma/ARLZ/info,
ARMA,Ammayi Kosam,2001,2000s,,Muppalaneni Siva Prasad,,,Telugu,India,/static/posters/ARMA.jpg,https://indiancine.ma/ARMA/info,
ARMB,Ammo Bomma,2001,2000s,,Relangi Narasimha Rao,,,Telugu,India,/static/posters/ARMB.jpg,https://indiancine.ma/ARMB/info,
COSY,Amrutham,2001,2000s,,"S.S. Kanchi, Haricharan, Gunnam Gangaraju",,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/COSY/info,
ARMC,Anandam,2001,2000s,,Srinu Vaitla,,"Kiran (Akash) and Aishwarya (Rekha) are neighbors for 20 years in Hyderabad. They study in the same college and immensely hate each other. Rekha's parents shift to Ooty. In Ooty house, Aishwarya founds an unopened greeting card addressed to Deepika (Tanu Roy). Aishwarya comes to know that Deepika is the girl who stayed in that room in the past. Deepika committed suicide because her lover Vamsi (Venkat) did not return after going to Hyderabad. Aishwarya opens the letter addressed to Deepika and realizes that Vamsi wrote it. It's a sensitive letter written by Vamsi explaining his feelings towards her. Aishwarya does not want to disappoint Vamsi that Deepika is no more. She starts writing letters on the name of 'Deepika'. Interestingly, on the other side Kiran would be replying all these mails on the name of 'Vamsi', as Vamsi dies of accident in Hyderabad. The rest of the film is about how these two people come to know about the real story and turn the their hatred into love.",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/ARMC/info,
BEFJ,Andhala O Chilaka,2001,2000s,,Sri Raju,,,Telugu,India,/static/posters/BEFJ.jpg,https://indiancine.ma/BEFJ/info,
BEQH,Andhala Sundari,2001,2000s,,Vinayan,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEQH/info,
BJAB,Andham,2001,2000s,,S. Srinivasa Reddy,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJAB/info,
BFYB,Apaayam 25000 Volts,2001,2000s,,Ronny Yu,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BFYB/info,
ARMI,Apparao Ki Oka Nela Thappindi,2001,2000s,,Relangi Narasimha Rao,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/ARMI/info,
BGCL,Ashoka,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGCL/info,
ARMN,Athanu,2001,2000s,,Satyam Babu,,,Telugu,India,/static/posters/ARMN.jpg,https://indiancine.ma/ARMN/info,
BGND,Athili Papa,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGND/info,
BFFE,Atu America Itu India,2001,2000s,,Gummaluri Sastry,,,Telugu,India,/static/posters/BFFE.jpg,https://indiancine.ma/BFFE/info,
ARMQ,Badrachalam,2001,2000s,,N. Shankar,,,Telugu,India,/static/posters/ARMQ.jpg,https://indiancine.ma/ARMQ/info,
BGYN,Bangaru Kamini,2001,2000s,,Das,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGYN/info,
BJOY,Bava Nachadu,2001,2000s,,K.S. Ravi Kumar,,"Hyderabad-based wealthy Film Ad Director-cum-Model, Ajay Singh Bhupathi, who lives with his widowed mother in a palatial house, travels to Sonpur to see a bride. He meets with Meenakshi, who does not speak English very well, approves of her, and soon both get married. After a dramatic return from their Switzerland Honeymoon, both are informed that they will soon be parents. They hope to get Meenakshi's sister, Rani, also married, but she refuses to do so. When Meenakshi goes for a visit, Rani tells her that she wants to marry Ajay and no one else. Initially Meenakshi is outraged, but subsequently changes her mind after Rani is hospitalized after a suicide attempt. The question remains: how will Meenakshi compel Ajay to marry her sister?",Telugu,India,/static/posters/BJOY.jpg,https://indiancine.ma/BJOY/info,
BGKA,Bavalu Sayya,2001,2000s,,A.T. Joy,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGKA/info,
