film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
VPR,Gadasari Atha Sogasari Kodalu,1981,1980s,,Katta Subbarao,,,Telugu,India,/static/posters/VPR.jpg,https://indiancine.ma/VPR/info,
URZ,Gaja Donga,1981,1980s,,K. Raghavendra Rao,,,Telugu,India,/static/posters/URZ.jpg,https://indiancine.ma/URZ/info,
BJTB,Gajaraju,1981,1980s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJTB/info,
BEZQ,Ganesha Mahima,1981,1980s,,K. Manimurugan,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEZQ/info,
VQF,Gharana Gangulu,1981,1980s,,Katta Subbarao,,,Telugu,India,/static/posters/VQF.jpg,https://indiancine.ma/VQF/info,
VQI,Girija Kalyanam,1981,1980s,,K.S.R. Doss,,,Telugu,India,/static/posters/VQI.jpg,https://indiancine.ma/VQI/info,
VQJ,Gola Nagamma,1981,1980s,,P.V. Raju,,,Telugu,India,/static/posters/VQJ.jpg,https://indiancine.ma/VQJ/info,
VQS,Guru Sishyulu,1981,1980s,,K. Bapaiah,,,Telugu,India,/static/posters/VQS.jpg,https://indiancine.ma/VQS/info,
BJNN,Guvvala Janta,1981,1980s,,K. Vasu,,,Telugu,India,/static/posters/BJNN.jpg,https://indiancine.ma/BJNN/info,
BERB,Harischandrudu,1981,1980s,,U. Visweswara Rao,,,Telugu,,/static/posters/BERB.jpg,https://indiancine.ma/BERB/info,
BEVW,Hrudayamunna Manishi,1981,1980s,,Krishnan-Panju,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEVW/info,
VRH,Illalu,1981,1980s,,Tatineni Rama Rao,,"Guest Appearance: Kaikala Satyanarayana, Allu Ramalingaiah, Ranganath",Telugu,India,/static/posters/VRH.jpg,https://indiancine.ma/VRH/info,
BDDD,Ille Swargam,1981,1980s,,Garlla Satyanarayana Murthy,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BDDD/info,
BJCZ,O Inti Katha,1981,1980s,,S.P. Muthuraman,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJCZ/info,
BIIK,Jagadhguru Aadhi Shankaracharya,1981,1980s,,P. Bhaskaran,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BIIK/info,
VRS,Jagamondi,1981,1980s,,V. Madhusudhana Rao,,,Telugu,India,/static/posters/VRS.jpg,https://indiancine.ma/VRS/info,
BENC,Janthu Lokam,1981,1980s,,Heng Simon,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BENC/info,
VRZ,Jathagadu,1981,1980s,,Boina Subbarao,,,Telugu,India,/static/posters/VRZ.jpg,https://indiancine.ma/VRZ/info,
BDBW,Jeevana Chadarangam,1981,1980s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BDBW/info,
VSD,Jeevitha Radham,1981,1980s,,V. Madhusudhana Rao,,,Telugu,India,/static/posters/VSD.jpg,https://indiancine.ma/VSD/info,
VRV,Jegantalu,1981,1980s,,Singeetham Srinivasa Rao,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/VRV/info,
BGZC,Kaanksha,1981,1980s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGZC/info,
BJUP,Kalarathri,1981,1980s,,P. Chandrasekhara Reddy,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJUP/info,
BEMV,Karpura Silpam,1981,1980s,,Jayashyam,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEMV/info,
VUB,Kirayi Rowdilu,1981,1980s,,A. Kodandarami Reddy,,,Telugu,India,/static/posters/VUB.jpg,https://indiancine.ma/VUB/info,
VUH,Kondaveeti Simham,1981,1980s,,K. Raghavendra Rao,,"Guest Appearance: Kantharao, Mukkamala Child Artist: Harish (Actor)",Telugu,India,/static/posters/VUH.jpg,https://indiancine.ma/VUH/info,
BDSC,Konte Kurrallu,1981,1980s,,Balu Mahendra,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BDSC/info,
BGZK,Korika,1981,1980s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGZK/info,
UWM,Kotha Jeevithalu,1981,1980s,,Bharathirajaa,,,Telugu,India,/static/posters/UWM.jpg,https://indiancine.ma/UWM/info,
BDOE,Kotha Malupu,1981,1980s,,Muthyala Subbaiah,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BDOE/info,
VUK,Kranthi,1981,1980s,,Bhimeswara Rao Munjuluri,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/VUK/info,
VUY,Lakshmi,1981,1980s,,B.V. Prasad,,,Telugu,India,/static/posters/VUY.jpg,https://indiancine.ma/VUY/info,
BGKF,Maa Pelli Katha,1981,1980s,,Katta Subbarao,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGKF/info,
BFPD,Maavoori Peddamanushulu,1981,1980s,,Perala Subramanyam,,,Telugu,,/static/posters/BFPD.jpg,https://indiancine.ma/BFPD/info,
VVM,Maha Purushudu,1981,1980s,,P. Lakshmi Deepak,,,Telugu,India,/static/posters/VVM.jpg,https://indiancine.ma/VVM/info,
BGDZ,Mana Voori Ramudu,1981,1980s,,Perala Subramanyam,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGDZ/info,
BILM,Manthra Shakthi Dhaiva Bhakthi,1981,1980s,,K. Manimurugan,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BILM/info,
BERA,Mariya My Darling,1981,1980s,,Durai,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BERA/info,
BJPB,Maro Kurukshetram,1981,1980s,,Thammareddy Lenin Babu,,,Telugu,India,/static/posters/BJPB.jpg,https://indiancine.ma/BJPB/info,
VWA,Mayadari Alludu,1981,1980s,,K.S.R. Doss,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/VWA/info,
BEOF,Minister Maalakshmi,1981,1980s,,Dr. Rangarao Guthikonda,,,Telugu,India,/static/posters/BEOF.jpg,https://indiancine.ma/BEOF/info,
BJIZ,Mouna Geetham,1981,1980s,,J. Mahendran,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJIZ/info,
