person_id,person_name,role,film_count,known_for
b-suresh-raj,B. Suresh Raj,director,1,BHNF
b-unni-krishnan,B. Unni Krishnan,director,1,BIMU
b-venkata-krishna,B. Venkata Krishna,director,1,BDWT
b-vijaya-reddy,B. Vijaya Reddy,director,1,MFI
b-vittalacharya,B. Vittalacharya,director,42,"HEU, IOP, JCS, JGA, JJN"
b-vittalacharya-srinivas,B. Vittalacharya Srinivas,director,6,"MHM, NBE, NFF, OBW, ZUC"
b-a-subbarao,B.A. Subbarao,director,20,"FYP, GJS, AKVT, HIJ, ALAV"
b-k-mohan,B.K. Mohan,director,1,BJXS
b-l-nandan-rao,B.L. Nandan Rao,director,1,TVH
b-l-v-prasad,B.L.V. Prasad,director,8,"XUI, ZZN, BGDE, BDXI, BGHH"
b-n-reddi,B.N. Reddi,director,11,"CYR, DEO, DHC, EGI, AKCS"
b-n-r,B.N.R,director,2,"QKL, BFVZ"
b-r-panthulu,B.R. Panthulu,director,15,"BGHC, IWT, JHI, BCDF, ALDN"
b-r-ravi-shankar,B.R. Ravi Shankar,director,1,BHXG
b-r-srinivas,B.R. Srinivas,director,1,AAFH
b-s-narayana,B.S. Narayana,director,16,"JOW, KRA, KYF, LWB, LWQ"
b-s-prakash-rao,B.S. Prakash Rao,director,1,BEWT
b-s-raju,B.S. Raju,director,1,BHDE
b-s-ranga,B.S. Ranga,director,12,"HFN, HWO, AKZF, IJI, BJVV"
b-s-vasu,B.S. Vasu,director,1,BGDQ
b-v-bala-guru,B.V. Bala Guru,director,1,BGHF
b-v-nandini-reddy,B.V. Nandini Reddy,director,4,"AYHZ, BAYV, BEED, CZUI"
b-v-padmanaba-charya,B.V. Padmanaba Charya,director,1,BFMN
b-v-padmanaba-rao,B.V. Padmanaba Rao,director,1,ZSS
b-v-prasad,B.V. Prasad,director,24,"LUJ, NSW, ONG, PEB, PXL"
b-v-ramana,B.V. Ramana,director,4,"ASQM, ATFW, AURQ, AVZX"
b-v-ramana-reddy,B.V. Ramana Reddy,director,8,"AGEO, AHAM, AIYC, BJMP, ATKO"
b-v-ramanandam,B.V. Ramanandam,director,3,"CWB, EOA, GHG"
b-v-s-ravi,B.V.S. Ravi,director,2,"AZLH, BKXY"
b-v-v-chowdary,B.V.V. Chowdary,director,1,BIBG
b-v-v-chowdhary,B.V.V. Chowdhary,director,1,AXJJ
baali-srirangam,Baali Srirangam,director,1,BGJX
babji,Babji,director,4,"BICR, ARGX, BHSD, DAFY"
babu-janardhan,Babu Janardhan,director,1,BDGS
babu-maharaj,Babu Maharaj,director,1,BDWD
babu-neelakantam,Babu Neelakantam,director,1,BZFK
babu-nimmagadda,Babu Nimmagadda,director,1,ATNL
babu-sivan,Babu Sivan,director,1,BIYQ
babubhai-mistri,Babubhai Mistri,director,12,"BIQY, BHBM, BGRY, BHJD, BEBV"
baburaj,Baburaj,director,1,BIDE
baby,Baby,director,9,"BJTQ, BMHU, BDHJ, BJBM, BGQH"
badran,Badran,director,2,"BJNE, BETX"
badri,Badri,director,1,BJQE
badri-venkatesh,Badri Venkatesh,director,1,BFOJ
bakhrudeen,Bakhrudeen,director,1,ARAP
bakkiyaraj-kannan,Bakkiyaraj Kannan,director,1,BKOR
bala,Bala,director,8,"BHNQ, BEKE, BFAE, BIIM, BFIQ"
bala-bodepudi,Bala Bodepudi,director,1,CFQR
bala-sai-karthik-ch,Bala Sai Karthik CH,director,1,CGRL
bala-shekaran,Bala Shekaran,director,1,CQDK
balachari,Balachari,director,1,ATPJ
balagonda-anjaneyulu,Balagonda Anjaneyulu,director,1,BIMH
balaiah-m,Balaiah M.,director,1,CKBZ
balaiah-mannava,Balaiah Mannava,director,7,"WFE, XWI, YSO, ZXZ, ABFH"
balajee,Balajee,director,1,BEAZ
balaji,Balaji,director,1,BKAZ
balaji-mohan,Balaji Mohan,director,3,"BIFI, BGOA, CFPC"
balaji-n-sai,Balaji N. Sai,director,1,BIFD
balaji-sanala,Balaji Sanala,director,1,CZVQ
